names,Best rank (std),Best rank,Age turned pro,Age,Plays,Backhand,Favorite surface,Overall success,Hard success,Hard titles (std),Clay success,Clay titles (std),Grass success,Titles (std),Prize money (std),First Rank diff.,Second Rank diff.,Third rank diff.
Feliciano Lopez,18.0,12,15.0,38.0,2,2,9,52.2,50.8,0.0909090909090909,49.4,0.0454545454545455,65.3,0.31818181818181795,13.5643947428156,112.0,97.0,34.0
Nicolas Mahut,14.0,37,18.0,38.0,3,2,9,44.4,41.0,,30.4,,62.0,0.2,13.1482532242432,172.0,53.0,175.0
Tommy Robredo,8.0,5,15.0,37.0,3,2,4,59.8,55.6,0.0476190476190476,66.3,0.523809523809524,54.5,0.5714285714285711,13.364467742966001,101.0,0.0,9.0
Paolo Lorenzi,14.0,33,21.0,38.0,3,3,15,37.7,36.3,,42.0,0.0714285714285714,20.0,0.0714285714285714,12.7713233559987,99.0,415.0,134.0
Ivo Karlovic,8.0,14,21.0,41.0,3,2,9,52.0,52.2,0.19047619047619,42.3,0.0476190476190476,62.9,0.38095238095238104,13.057988896144801,93.0,8.0,128.0
Roger Federer,6.0,1,16.0,38.0,3,2,9,82.0,83.3,3.08695652173913,76.1,0.4782608695652171,87.4,4.4782608695652195,15.5416247373677,16.0,7.0,4.0
Guillermo Garcia Lopez,9.0,23,18.0,36.0,3,2,16,45.6,42.0,0.11764705882352902,49.5,0.17647058823529396,48.3,0.294117647058824,13.062180285599199,501.0,132.0,115.0
Jo Wilfried Tsonga,8.0,5,18.0,34.0,3,3,6,67.5,68.3,1.0625,63.6,0.0625,68.9,1.125,14.137259537419801,399.0,106.0,231.0
Fernando Verdasco,8.0,7,17.0,36.0,2,3,4,56.8,53.8,0.10526315789473699,61.2,0.263157894736842,54.8,0.368421052631579,13.724883711215199,291.0,64.0,73.0
Andreas Seppi,11.0,18,18.0,36.0,3,3,9,48.5,46.3,0.0555555555555556,49.6,0.0555555555555556,56.6,0.166666666666667,13.2842437290547,444.0,113.0,94.0
